ID,year,type,division,subdivision,major
1,2012,Major,II,7,History
7,2012,Major,II,2,Economics
12,2012,Major,II,2,Economics
13,2012,Major,III,2,English
18,2012,Major,NA,NA,Mechanical Engineering
22,2012,Major,III,1,Spanish
23,2012,Major,II,5,Anthropology
25,2012,Major,NA,NA,Industrial Engineering
26,2012,Major,NA,NA,Industrial Engineering
29,2012,Major,NA,NA,Environmental Engineering
37,2012,Major,II,2,Economics
39,2012,Major,II,2,Economics
40,2012,Major,II,2,Economics
44,2012,Major,III,3.5,Art History
45,2012,Major,III,2,English
47,2012,Major,I,1,Mathematics
48,2012,Major,II,5,Political Science
49,2012,Major,I,1,Statistics
50,2012,Major,II,2,Economics
54,2012,Major,III,1,Spanish
58,2012,Major,NA,NA,Industrial Engineering
59,2012,Major,II,5,Political Science
62,2012,Major,II,5,Sociology
64,2012,Major,II,2,Economics
66,2012,Major,II,5,Sociology
69,2012,Major,II,2,Economics
70,2012,Major,II,5,Political Science
71,2012,Major,III,2,English
72,2012,Major,II,2,Psychology
73,2012,Major,III,2,English
75,2012,Major,III,3.5,Art History
76,2012,Major,II,7,History
78,2012,Major,II,5,Political Science
79,2012,Major,II,2,Cognitive Science
81,2012,Major,II,2,Economics
82,2012,Major,NA,NA,Journalism
88,2012,Major,III,3,Philosophy
89,2012,Major,II,5,Political Science
92,2012,Major,II,2,Economics
93,2012,Major,II,2,Cognitive Science
96,2012,Major,II,2,Psychology
99,2012,Major,II,5,Anthropology
104,2012,Major,NA,NA,Biomedical Engineering
105,2012,Major,NA,NA,Industrial Engineering
107,2012,Major,II,7,History
108,2012,Major,II,2,Economics
111,2012,Major,III,3,Philosophy
112,2012,Major,I,5,Biological Sciences
113,2012,Major,II,2,Economics
115,2012,Major,III,1.25,German
118,2012,Major,II,5,Anthropology
120,2012,Major,NA,NA,Journalism
122,2012,Major,I,5,Biological Sciences
124,2012,Major,NA,NA,Journalism
125,2012,Major,NA,NA,Journalism
126,2012,Major,II,2,Economics
127,2012,Major,II,5,Political Science
128,2012,Major,NA,NA,Voice & Opera
131,2012,Major,NA,NA,Environmental Engineering
132,2012,Major,NA,NA,Music Ad Hoc
133,2012,Major,I,6,Integrated Science Program
134,2012,Major,I,1,Mathematics
136,2012,Major,II,2,Economics
137,2012,Major,NA,NA,Voice & Opera
142,2012,Major,II,2,Cognitive Science
145,2012,Major,I,6,Integrated Science Program
146,2012,Major,I,5,Biological Sciences
147,2012,Major,III,2,Comparative Literary Studies
148,2012,Major,III,2,English
154,2012,Major,II,7,History
156,2012,Major,II,2,Psychology
159,2012,Major,I,5,Biological Sciences
165,2012,Major,II,2,Psychology
166,2012,Major,I,4,Earth & Planetary Sciences
168,2012,Major,I,1,Mathematics
170,2012,Major,II,2,Economics
171,2012,Major,NA,NA,Applied Mathematics
176,2012,Major,NA,NA,Radio/Television/Film
178,2012,Major,NA,NA,Theatre
179,2012,Major,NA,NA,Journalism
180,2012,Major,NA,NA,Journalism
181,2012,Major,NA,NA,Journalism
184,2012,Major,NA,NA,Journalism
185,2012,Major,II,2,Linguistics
189,2012,Major,I,3,Chemistry
190,2012,Major,NA,NA,Communication Studies
191,2012,Major,NA,NA,Learning & Organztnl Change
192,2012,Major,II,5,Anthropology
196,2012,Major,III,2,English
198,2012,Major,NA,NA,Journalism
201,2012,Major,II,2,Psychology
202,2012,Major,II,2,Economics
203,2012,Major,NA,NA,Communication Studies
206,2012,Major,II,2,Economics
209,2012,Major,NA,NA,Journalism
210,2012,Major,NA,NA,Industrial Engineering
212,2012,Major,II,2,Psychology
213,2012,Major,III,2,English
214,2012,Major,II,2,Psychology
215,2012,Major,NA,NA,Industrial Engineering
219,2012,Major,NA,NA,Communication Studies
221,2012,Major,II,2,Economics
223,2012,Major,II,2,Psychology
225,2012,Major,II,2,Economics
231,2012,Major,I,5,Biological Sciences
232,2012,Major,II,7,History
233,2012,Major,III,1.5,Middle East & North African Studies
234,2012,Major,I,4,Environmental Sciences
235,2012,Major,II,2,Psychology
237,2012,Major,II,2,Psychology
239,2012,Major,I,5,Biological Sciences
240,2012,Major,NA,NA,Journalism
241,2012,Major,I,5,Biological Sciences
243,2012,Major,II,2,Economics
246,2012,Major,I,5,Biological Sciences
251,2012,Major,III,2,English
252,2012,Major,NA,NA,Learning & Organztnl Change
254,2012,Major,NA,NA,Social Policy
255,2012,Major,I,3,Chemistry
256,2012,Major,NA,NA,Journalism
257,2012,Major,II,2,Psychology
258,2012,Major,II,7,History
259,2012,Major,NA,NA,Journalism
260,2012,Major,NA,NA,Social Policy
261,2012,Major,II,2,Economics
263,2012,Major,II,2,Economics
264,2012,Major,NA,NA,Human Development & Psych Srvs
265,2012,Major,III,1,French
266,2012,Major,II,7,History
268,2012,Major,II,2,Economics
271,2012,Major,II,2,Psychology
273,2012,Major,I,5,Biological Sciences
275,2012,Major,NA,NA,Biomedical Engineering
276,2012,Major,II,2,Psychology
277,2012,Major,NA,NA,Journalism
278,2012,Major,III,1.5,Middle East & North African Studies
279,2012,Major,II,2,Economics
280,2012,Major,II,2,Economics
284,2012,Major,I,1,Mathematics
285,2012,Major,NA,NA,Communication Studies
287,2012,Major,NA,NA,Communication Studies
288,2012,Major,II,2,Economics
289,2012,Major,II,2,Psychology
292,2012,Major,NA,NA,Social Policy
293,2012,Major,NA,NA,Journalism
294,2012,Major,NA,NA,Human Communication Sciences
296,2012,Major,NA,NA,Applied Mathematics
297,2012,Major,NA,NA,Journalism
301,2012,Major,II,2,Psychology
302,2012,Major,NA,NA,Radio/Television/Film
303,2012,Major,I,6,Integrated Science Program
304,2012,Major,II,2,Cognitive Science
305,2012,Major,NA,NA,Radio/Television/Film
307,2012,Major,I,1,Mathematics
308,2012,Major,NA,NA,Communication Studies
309,2012,Major,I,5,Biological Sciences
310,2012,Major,NA,NA,Human Communication Sciences
311,2012,Major,I,3,Physics and Astronomy
314,2012,Major,I,3,Chemistry
317,2012,Major,II,2,Economics
322,2012,Major,I,5,Biological Sciences
323,2012,Major,II,2,Economics
326,2012,Major,II,2,Economics
327,2012,Major,I,5,Biological Sciences
328,2012,Major,I,4,Environmental Sciences
329,2012,Major,NA,NA,Journalism
330,2012,Major,II,2,Economics
331,2012,Major,NA,NA,Industrial Engineering
334,2012,Major,II,5,Sociology
335,2012,Major,II,5,Political Science
337,2012,Major,I,6,Integrated Science Program
341,2012,Major,II,2,Psychology
343,2012,Major,I,6,Integrated Science Program
344,2012,Major,NA,NA,Journalism
350,2012,Major,NA,NA,Industrial Engineering
353,2012,Major,II,2,Economics
354,2012,Major,NA,NA,Industrial Engineering
356,2012,Major,NA,NA,Communication Studies
360,2012,Major,NA,NA,Industrial Engineering
361,2012,Major,NA,NA,Journalism
362,2012,Major,II,2,Economics
365,2012,Major,II,2,Psychology
368,2012,Major,II,7,History
369,2012,Major,III,1,French
371,2012,Major,NA,NA,Industrial Engineering
375,2012,Major,II,2,Economics
